Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
294,The Man from U.N.C.L.E.,Guy Ritchie,Guy Ritchie,,116 min,2015,7.2,56
295,Batman v Superman: Dawn of Justice,Zack Snyder,Zack Snyder,,151 min,2016,6.4,44
296,RoboCop,Paul Verhoeven,Paul Verhoeven,,102 min,1987,7.6,70
297,Train to Busan,Sang-ho Yeon,Sang-ho Yeon,,118 min,2016,7.6,73
298,Taken (I),Pierre Morel,Pierre Morel,,90 min,2008,7.8,51
299,Army of the Dead,Zack Snyder,Zack Snyder,,148 min,2021,5.8,57
300,Memory (I),Martin Campbell,Martin Campbell,,114 min,2022,5.7,41
301,Kingdom of Heaven,Ridley Scott,Ridley Scott,,144 min,2005,7.2,63
302,Cloverfield,Matt Reeves,Matt Reeves,,85 min,2008,7.0,64
303,The Lost World: Jurassic Park,Steven Spielberg,Steven Spielberg,,129 min,1997,6.5,59
304,Sky High,Mike Mitchell,Mike Mitchell,,100 min,2005,6.3,62
305,6 Underground,Michael Bay,Michael Bay,,128 min,2019,6.1,41
306,Resident Evil,Paul W.S. Anderson,Paul W.S. Anderson,,100 min,2002,6.6,33
307,Rush Hour,Brett Ratner,Brett Ratner,,98 min,1998,7.0,60
308,The Rock,Michael Bay,Michael Bay,,136 min,1996,7.4,58
309,Predestination (I),"Michael Spierig, Peter Spierig",Michael Spierig,Peter Spierig,97 min,2014,7.4,69
310,The Warriors,Walter Hill,Walter Hill,,93 min,1979,7.6,65
311,Skyfall,Sam Mendes,Sam Mendes,,143 min,2012,7.8,81
312,Doctor Strange,Scott Derrickson,Scott Derrickson,,115 min,2016,7.5,72
313,The Karate Kid,John G. Avildsen,John G. Avildsen,,126 min,1984,7.3,60
314,TRON: Legacy,Joseph Kosinski,Joseph Kosinski,,125 min,2010,6.8,49
315,Conan the Destroyer,Richard Fleischer,Richard Fleischer,,103 min,1984,5.9,53
316,El Camino: A Breaking Bad Movie,Vince Gilligan,Vince Gilligan,,122 min,2019,7.3,72
